claim_id,ulpin,claimant_name,relation_to_recorded_owner,blood_relation,proof_status,proof_document,claimed_share_pct,verification_status,claim_filed_on
SC-33-045-018-544333-4,33-045-018-544333,Claimant 4,Brother,True,Documented,Succession Certificate,20.599999999999994,Verified,2019-09-20
SC-36-003-014-168649-1,36-003-014-168649,Claimant 1,Daughter,True,Contested,Competing Will produced,30.9,Referred to Revenue Court,2020-02-26
SC-36-003-014-168649-2,36-003-014-168649,Claimant 2,Son,True,Contested,Competing Will produced,23.8,Referred to Revenue Court,2020-02-26
SC-36-003-014-168649-3,36-003-014-168649,Claimant 3,Adopted Son,True,Undocumented,Panchayat attestation,16.7,Pending Verification,2020-02-26
SC-36-003-014-168649-4,36-003-014-168649,Claimant 4,Daughter,True,Documented,Mutation Entry (RoR),28.599999999999998,Verified,2020-02-26
SC-22-018-016-872581-1,22-018-016-872581,Claimant 1,Sister,True,Contested,Civil suit pending,74.9,Referred to Revenue Court,2022-10-27
SC-23-033-012-909547-1,23-033-012-909547,Claimant 1,Adopted Son,True,Contested,Competing Will produced,69.3,Referred to Revenue Court,2022-11-03
SC-23-033-012-909547-2,23-033-012-909547,Claimant 2,Brother,True,Documented,Partition Deed,21.2,Verified,2022-11-03
SC-09-015-007-970801-1,09-015-007-970801,Claimant 1,Son,False,Documented,Legal Heir Certificate,43.4,Verified,2021-05-15
SC-09-015-007-970801-2,09-015-007-970801,Claimant 2,Grandson,True,Contested,Civil suit pending,20.0,Referred to Revenue Court,2021-05-15
SC-09-015-007-970801-3,09-015-007-970801,Claimant 3,Son,True,Contested,Disputed mutation,36.6,Referred to Revenue Court,2021-05-15
SC-21-019-010-250365-1,21-019-010-250365,Claimant 1,Sister,True,Documented,Succession Certificate,50.0,Verified,2022-05-04
SC-21-019-010-250365-2,21-019-010-250365,Claimant 2,Adopted Son,False,Documented,Legal Heir Certificate,43.8,Verified,2022-05-04
SC-22-002-008-335658-1,22-002-008-335658,Claimant 1,Son,True,Documented,Legal Heir Certificate,40.6,Verified,2019-11-12
SC-22-002-008-335658-2,22-002-008-335658,Claimant 2,Nephew,True,Documented,Legal Heir Certificate,25.6,Verified,2019-11-12
SC-22-002-008-335658-3,22-002-008-335658,Claimant 3,Nephew,False,Documented,Registered Will,33.8,Verified,2019-11-12
SC-22-018-017-780109-1,22-018-017-780109,Claimant 1,Adopted Son,True,Contested,Civil suit pending,98.9,Referred to Revenue Court,2021-05-14
SC-09-031-009-301397-1,09-031-009-301397,Claimant 1,Widow,True,Contested,Civil suit pending,78.0,Referred to Revenue Court,2019-11-02
SC-09-015-007-459474-1,09-015-007-459474,Claimant 1,Brother,True,Undocumented,Oral claim only,100.0,Pending Verification,2020-12-16
SC-22-014-023-503989-1,22-014-023-503989,Claimant 1,Nephew,True,Documented,Partition Deed,47.5,Verified,2022-05-11
SC-22-014-023-503989-2,22-014-023-503989,Claimant 2,Son,True,Undocumented,Oral claim only,52.5,Pending Verification,2022-05-11
SC-09-015-022-331393-1,09-015-022-331393,Claimant 1,Step-son,True,Documented,Partition Deed,15.2,Verified,2021-12-22
SC-09-015-022-331393-2,09-015-022-331393,Claimant 2,Daughter,True,Documented,Succession Certificate,28.4,Verified,2021-12-22
SC-09-015-022-331393-3,09-015-022-331393,Claimant 3,Daughter,False,Undocumented,Panchayat attestation,24.1,Pending Verification,2021-12-22
SC-09-015-022-331393-4,09-015-022-331393,Claimant 4,Widow,True,Contested,Competing Will produced,32.3,Referred to Revenue Court,2021-12-22
SC-22-002-014-342105-1,22-002-014-342105,Claimant 1,Grandson,True,Documented,Registered Will,59.5,Verified,2023-10-12
SC-22-002-014-342105-2,22-002-014-342105,Claimant 2,Nephew,True,Documented,Mutation Entry (RoR),37.8,Verified,2023-10-12
SC-09-044-010-180479-1,09-044-010-180479,Claimant 1,Adopted Son,True,Documented,Partition Deed,15.9,Verified,2021-12-03
SC-09-044-010-180479-2,09-044-010-180479,Claimant 2,Grandson,True,Contested,Disputed mutation,38.1,Referred to Revenue Court,2021-12-03
SC-09-044-010-180479-3,09-044-010-180479,Claimant 3,Son,True,Contested,Competing Will produced,15.8,Referred to Revenue Court,2021-12-03
SC-09-044-010-180479-4,09-044-010-180479,Claimant 4,Daughter,True,Contested,Competing Will produced,19.3,Referred to Revenue Court,2021-12-03
SC-36-003-019-565746-1,36-003-019-565746,Claimant 1,Widow,True,Undocumented,"Affidavit, unverified",21.7,Pending Verification,2023-11-09
SC-36-003-019-565746-2,36-003-019-565746,Claimant 2,Brother,True,Undocumented,Oral claim only,31.8,Pending Verification,2023-11-09
SC-36-003-019-565746-3,36-003-019-565746,Claimant 3,Son,True,Documented,Legal Heir Certificate,34.8,Verified,2023-11-09
SC-29-007-005-788735-1,29-007-005-788735,Claimant 1,Step-son,True,Undocumented,Panchayat attestation,22.6,Pending Verification,2022-08-24
SC-29-007-005-788735-2,29-007-005-788735,Claimant 2,Nephew,True,Undocumented,"Affidavit, unverified",25.8,Pending Verification,2022-08-24
SC-29-007-005-788735-3,29-007-005-788735,Claimant 3,Daughter,False,Documented,Legal Heir Certificate,51.60000000000001,Verified,2022-08-24
SC-27-013-003-437163-1,27-013-003-437163,Claimant 1,Son,True,Undocumented,"Affidavit, unverified",23.0,Pending Verification,2021-10-31
SC-27-013-003-437163-2,27-013-003-437163,Claimant 2,Son,True,Documented,Succession Certificate,26.0,Verified,2021-10-31
SC-27-013-003-437163-3,27-013-003-437163,Claimant 3,Step-son,True,Undocumented,Oral claim only,33.8,Pending Verification,2021-10-31
SC-27-013-003-437163-4,27-013-003-437163,Claimant 4,Sister,True,Documented,Registered Will,17.200000000000003,Verified,2021-10-31
SC-29-009-018-330872-1,29-009-018-330872,Claimant 1,Nephew,True,Documented,Mutation Entry (RoR),95.8,Verified,2023-02-23
SC-21-005-016-212873-1,21-005-016-212873,Claimant 1,Brother,True,Undocumented,"Affidavit, unverified",27.7,Pending Verification,2019-12-03
SC-21-005-016-212873-2,21-005-016-212873,Claimant 2,Widow,True,Undocumented,Oral claim only,34.6,Pending Verification,2019-12-03
SC-21-005-016-212873-3,21-005-016-212873,Claimant 3,Step-son,True,Documented,Partition Deed,33.5,Verified,2019-12-03
SC-36-003-024-806495-1,36-003-024-806495,Claimant 1,Son,True,Documented,Succession Certificate,100.0,Verified,2023-01-13
SC-21-019-006-257378-1,21-019-006-257378,Claimant 1,Adopted Son,True,Undocumented,Oral claim only,100.0,Pending Verification,2023-01-26
SC-29-007-007-071762-1,29-007-007-071762,Claimant 1,Son,True,Documented,Registered Will,76.0,Verified,2020-08-23
SC-21-005-001-250927-1,21-005-001-250927,Claimant 1,Daughter,True,Documented,Succession Certificate,32.6,Verified,2020-07-06
SC-21-005-001-250927-2,21-005-001-250927,Claimant 2,Grandson,True,Contested,Competing Will produced,40.8,Referred to Revenue Court,2020-07-06
SC-21-005-001-250927-3,21-005-001-250927,Claimant 3,Nephew,True,Undocumented,"Affidavit, unverified",26.60000000000001,Pending Verification,2020-07-06
SC-27-037-013-834361-1,27-037-013-834361,Claimant 1,Step-son,False,Contested,Civil suit pending,24.7,Referred to Revenue Court,2022-06-26
SC-27-037-013-834361-2,27-037-013-834361,Claimant 2,Widow,True,Documented,Succession Certificate,23.2,Verified,2022-06-26
SC-27-037-013-834361-3,27-037-013-834361,Claimant 3,Grandson,True,Documented,Legal Heir Certificate,17.9,Verified,2022-06-26
SC-27-037-013-834361-4,27-037-013-834361,Claimant 4,Adopted Son,False,Documented,Legal Heir Certificate,34.1,Verified,2022-06-26
SC-23-016-011-215124-1,23-016-011-215124,Claimant 1,Nephew,True,Documented,Mutation Entry (RoR),100.0,Verified,2020-10-06
SC-21-026-019-095000-1,21-026-019-095000,Claimant 1,Grandson,True,Undocumented,Panchayat attestation,37.5,Pending Verification,2022-04-29
SC-21-026-019-095000-2,21-026-019-095000,Claimant 2,Nephew,True,Undocumented,Panchayat attestation,50.7,Pending Verification,2022-04-29
SC-27-025-009-655747-1,27-025-009-655747,Claimant 1,Widow,True,Undocumented,"Affidavit, unverified",24.6,Pending Verification,2023-04-06
SC-27-025-009-655747-2,27-025-009-655747,Claimant 2,Widow,False,Undocumented,Panchayat attestation,32.3,Pending Verification,2023-04-06
SC-27-025-009-655747-3,27-025-009-655747,Claimant 3,Widow,True,Contested,Competing Will produced,30.0,Referred to Revenue Court,2023-04-06
SC-27-025-009-655747-4,27-025-009-655747,Claimant 4,Son,True,Documented,Registered Will,11.5,Verified,2023-04-06
SC-36-027-009-400358-1,36-027-009-400358,Claimant 1,Step-son,True,Documented,Partition Deed,100.0,Verified,2023-01-30
SC-22-014-009-112459-1,22-014-009-112459,Claimant 1,Widow,True,Undocumented,Oral claim only,25.4,Pending Verification,2021-05-29
SC-22-014-009-112459-2,22-014-009-112459,Claimant 2,Nephew,False,Undocumented,"Affidavit, unverified",23.6,Pending Verification,2021-05-29
SC-22-014-009-112459-3,22-014-009-112459,Claimant 3,Son,True,Undocumented,Panchayat attestation,48.1,Pending Verification,2021-05-29
SC-22-002-019-640682-1,22-002-019-640682,Claimant 1,Grandson,True,Undocumented,"Affidavit, unverified",34.8,Pending Verification,2022-04-06
SC-22-002-019-640682-2,22-002-019-640682,Claimant 2,Brother,True,Contested,Disputed mutation,34.5,Referred to Revenue Court,2022-04-06
SC-22-002-019-640682-3,22-002-019-640682,Claimant 3,Widow,True,Documented,Legal Heir Certificate,22.6,Verified,2022-04-06
SC-29-009-008-883290-1,29-009-008-883290,Claimant 1,Adopted Son,True,Documented,Legal Heir Certificate,56.3,Verified,2023-11-06
SC-29-009-008-883290-2,29-009-008-883290,Claimant 2,Step-son,True,Undocumented,Panchayat attestation,27.4,Pending Verification,2023-11-06
SC-23-004-001-197598-1,23-004-001-197598,Claimant 1,Son,False,Documented,Mutation Entry (RoR),35.1,Verified,2022-05-12
SC-23-004-001-197598-2,23-004-001-197598,Claimant 2,Nephew,True,Undocumented,"Affidavit, unverified",35.4,Pending Verification,2022-05-12
SC-23-004-001-197598-3,23-004-001-197598,Claimant 3,Nephew,False,Contested,Competing Will produced,21.5,Referred to Revenue Court,2022-05-12
SC-09-002-006-374336-1,09-002-006-374336,Claimant 1,Grandson,True,Undocumented,Panchayat attestation,34.8,Pending Verification,2023-03-17
SC-09-002-006-374336-2,09-002-006-374336,Claimant 2,Son,True,Documented,Mutation Entry (RoR),25.2,Verified,2023-03-17
SC-09-002-006-374336-3,09-002-006-374336,Claimant 3,Grandson,True,Undocumented,Panchayat attestation,20.6,Pending Verification,2023-03-17
SC-09-002-006-374336-4,09-002-006-374336,Claimant 4,Son,True,Undocumented,Oral claim only,18.9,Pending Verification,2023-03-17
SC-27-013-020-089628-1,27-013-020-089628,Claimant 1,Widow,True,Documented,Partition Deed,69.9,Verified,2021-01-19
SC-27-013-020-089628-2,27-013-020-089628,Claimant 2,Brother,True,Documented,Legal Heir Certificate,30.099999999999994,Verified,2021-01-19
SC-27-001-014-085914-1,27-001-014-085914,Claimant 1,Widow,True,Contested,Disputed mutation,64.2,Referred to Revenue Court,2019-11-06
SC-27-001-014-085914-2,27-001-014-085914,Claimant 2,Sister,True,Documented,Mutation Entry (RoR),25.0,Verified,2019-11-06
SC-09-031-007-719117-1,09-031-007-719117,Claimant 1,Sister,True,Documented,Mutation Entry (RoR),30.9,Verified,2022-04-27
SC-09-031-007-719117-2,09-031-007-719117,Claimant 2,Daughter,False,Contested,Disputed mutation,43.4,Referred to Revenue Court,2022-04-27
SC-09-031-007-719117-3,09-031-007-719117,Claimant 3,Step-son,True,Documented,Legal Heir Certificate,25.699999999999996,Verified,2022-04-27
SC-09-031-008-581607-1,09-031-008-581607,Claimant 1,Daughter,True,Contested,Civil suit pending,71.6,Referred to Revenue Court,2023-07-05
SC-27-001-019-123169-1,27-001-019-123169,Claimant 1,Step-son,True,Documented,Succession Certificate,43.0,Verified,2020-05-03
SC-27-001-019-123169-2,27-001-019-123169,Claimant 2,Daughter,True,Documented,Registered Will,34.3,Verified,2020-05-03
SC-27-001-019-123169-3,27-001-019-123169,Claimant 3,Brother,True,Documented,Legal Heir Certificate,14.7,Verified,2020-05-03
SC-22-018-024-885603-1,22-018-024-885603,Claimant 1,Adopted Son,True,Contested,Disputed mutation,19.8,Referred to Revenue Court,2019-08-08
SC-22-018-024-885603-2,22-018-024-885603,Claimant 2,Daughter,True,Undocumented,Oral claim only,16.7,Pending Verification,2019-08-08
SC-22-018-024-885603-3,22-018-024-885603,Claimant 3,Widow,True,Documented,Registered Will,26.4,Verified,2019-08-08
SC-22-018-024-885603-4,22-018-024-885603,Claimant 4,Son,True,Contested,Competing Will produced,30.3,Referred to Revenue Court,2019-08-08
SC-09-031-010-951761-1,09-031-010-951761,Claimant 1,Daughter,True,Undocumented,Oral claim only,41.5,Pending Verification,2019-09-30
SC-09-031-010-951761-2,09-031-010-951761,Claimant 2,Son,True,Documented,Partition Deed,32.1,Verified,2019-09-30
SC-09-031-010-951761-3,09-031-010-951761,Claimant 3,Widow,True,Undocumented,Oral claim only,26.4,Pending Verification,2019-09-30
SC-22-014-016-234546-1,22-014-016-234546,Claimant 1,Adopted Son,True,Contested,Disputed mutation,33.5,Referred to Revenue Court,2023-04-18
SC-22-014-016-234546-2,22-014-016-234546,Claimant 2,Grandson,True,Undocumented,Panchayat attestation,31.9,Pending Verification,2023-04-18
SC-22-014-016-234546-3,22-014-016-234546,Claimant 3,Son,True,Documented,Mutation Entry (RoR),34.6,Verified,2023-04-18
SC-09-044-018-871523-1,09-044-018-871523,Claimant 1,Step-son,True,Undocumented,"Affidavit, unverified",34.0,Pending Verification,2020-09-02
SC-09-044-018-871523-2,09-044-018-871523,Claimant 2,Nephew,True,Documented,Partition Deed,42.4,Verified,2020-09-02
SC-09-044-018-871523-3,09-044-018-871523,Claimant 3,Brother,True,Undocumented,Oral claim only,23.6,Pending Verification,2020-09-02
SC-22-009-021-420306-1,22-009-021-420306,Claimant 1,Sister,True,Undocumented,Panchayat attestation,100.0,Pending Verification,2023-06-18
SC-33-023-012-727675-1,33-023-012-727675,Claimant 1,Grandson,True,Undocumented,"Affidavit, unverified",33.8,Pending Verification,2019-12-04
SC-33-023-012-727675-2,33-023-012-727675,Claimant 2,Daughter,True,Documented,Registered Will,15.6,Verified,2019-12-04
SC-33-023-012-727675-3,33-023-012-727675,Claimant 3,Step-son,True,Undocumented,Panchayat attestation,33.3,Pending Verification,2019-12-04
SC-33-023-012-727675-4,33-023-012-727675,Claimant 4,Nephew,True,Undocumented,"Affidavit, unverified",13.6,Pending Verification,2019-12-04
SC-21-026-008-652571-1,21-026-008-652571,Claimant 1,Widow,True,Documented,Succession Certificate,41.8,Verified,2021-10-06
SC-21-026-008-652571-2,21-026-008-652571,Claimant 2,Daughter,False,Contested,Competing Will produced,23.4,Referred to Revenue Court,2021-10-06
SC-21-026-008-652571-3,21-026-008-652571,Claimant 3,Adopted Son,True,Undocumented,Panchayat attestation,34.1,Pending Verification,2021-10-06
SC-23-028-003-529604-1,23-028-003-529604,Claimant 1,Daughter,True,Documented,Registered Will,34.1,Verified,2020-04-05
SC-23-028-003-529604-2,23-028-003-529604,Claimant 2,Nephew,True,Undocumented,"Affidavit, unverified",25.2,Pending Verification,2020-04-05
SC-23-028-003-529604-3,23-028-003-529604,Claimant 3,Grandson,True,Documented,Partition Deed,23.6,Verified,2020-04-05
SC-23-028-003-529604-4,23-028-003-529604,Claimant 4,Brother,True,Documented,Legal Heir Certificate,16.4,Verified,2020-04-05
SC-36-027-014-339807-1,36-027-014-339807,Claimant 1,Grandson,True,Contested,Competing Will produced,43.8,Referred to Revenue Court,2022-07-02
SC-36-027-014-339807-2,36-027-014-339807,Claimant 2,Son,True,Documented,Succession Certificate,31.3,Verified,2022-07-02
SC-36-027-014-339807-3,36-027-014-339807,Claimant 3,Grandson,True,Documented,Legal Heir Certificate,24.900000000000002,Verified,2022-07-02
SC-23-028-004-804705-1,23-028-004-804705,Claimant 1,Daughter,True,Contested,Disputed mutation,35.5,Referred to Revenue Court,2021-04-20
SC-23-028-004-804705-2,23-028-004-804705,Claimant 2,Nephew,True,Undocumented,Panchayat attestation,37.8,Pending Verification,2021-04-20
SC-23-028-004-804705-3,23-028-004-804705,Claimant 3,Sister,True,Undocumented,"Affidavit, unverified",26.700000000000003,Pending Verification,2021-04-20
SC-22-014-011-342646-1,22-014-011-342646,Claimant 1,Sister,True,Documented,Registered Will,29.6,Verified,2020-04-11
SC-22-014-011-342646-2,22-014-011-342646,Claimant 2,Son,False,Documented,Registered Will,25.5,Verified,2020-04-11
SC-22-014-011-342646-3,22-014-011-342646,Claimant 3,Brother,True,Documented,Legal Heir Certificate,28.7,Verified,2020-04-11
SC-22-014-011-342646-4,22-014-011-342646,Claimant 4,Grandson,True,Undocumented,"Affidavit, unverified",11.7,Pending Verification,2020-04-11
SC-29-007-020-650428-1,29-007-020-650428,Claimant 1,Sister,True,Contested,Disputed mutation,100.0,Referred to Revenue Court,2021-09-22
SC-21-012-018-603940-1,21-012-018-603940,Claimant 1,Widow,False,Undocumented,"Affidavit, unverified",20.0,Pending Verification,2020-03-06
SC-21-012-018-603940-2,21-012-018-603940,Claimant 2,Daughter,True,Contested,Civil suit pending,16.5,Referred to Revenue Court,2020-03-06
SC-21-012-018-603940-3,21-012-018-603940,Claimant 3,Nephew,True,Contested,Civil suit pending,43.0,Referred to Revenue Court,2020-03-06
SC-21-012-018-603940-4,21-012-018-603940,Claimant 4,Grandson,True,Documented,Succession Certificate,20.5,Verified,2020-03-06
SC-36-019-008-919095-1,36-019-008-919095,Claimant 1,Sister,True,Documented,Partition Deed,100.0,Verified,2020-02-16
SC-27-013-018-313330-1,27-013-018-313330,Claimant 1,Widow,True,Documented,Mutation Entry (RoR),24.5,Verified,2023-07-19
SC-27-013-018-313330-2,27-013-018-313330,Claimant 2,Adopted Son,False,Contested,Disputed mutation,27.7,Referred to Revenue Court,2023-07-19
SC-27-013-018-313330-3,27-013-018-313330,Claimant 3,Nephew,True,Documented,Mutation Entry (RoR),30.4,Verified,2023-07-19
SC-27-013-018-313330-4,27-013-018-313330,Claimant 4,Step-son,True,Documented,Partition Deed,17.4,Verified,2023-07-19
SC-22-002-008-923294-1,22-002-008-923294,Claimant 1,Widow,False,Documented,Succession Certificate,27.6,Verified,2023-02-02
SC-22-002-008-923294-2,22-002-008-923294,Claimant 2,Brother,False,Contested,Civil suit pending,35.4,Referred to Revenue Court,2023-02-02
SC-22-002-008-923294-3,22-002-008-923294,Claimant 3,Widow,True,Documented,Partition Deed,37.00000000000001,Verified,2023-02-02
SC-33-045-021-629421-1,33-045-021-629421,Claimant 1,Son,True,Contested,Disputed mutation,39.2,Referred to Revenue Court,2020-10-29
SC-33-045-021-629421-2,33-045-021-629421,Claimant 2,Nephew,True,Documented,Registered Will,22.7,Verified,2020-10-29
SC-33-045-021-629421-3,33-045-021-629421,Claimant 3,Brother,True,Contested,Competing Will produced,28.6,Referred to Revenue Court,2020-10-29
SC-29-018-017-640746-1,29-018-017-640746,Claimant 1,Nephew,True,Undocumented,Oral claim only,67.2,Pending Verification,2021-02-05
SC-29-018-017-640746-2,29-018-017-640746,Claimant 2,Son,False,Documented,Partition Deed,32.8,Verified,2021-02-05
SC-29-022-015-460690-1,29-022-015-460690,Claimant 1,Adopted Son,True,Undocumented,Oral claim only,94.3,Pending Verification,2022-09-30
SC-23-004-011-004994-1,23-004-011-004994,Claimant 1,Sister,False,Documented,Registered Will,29.2,Verified,2023-01-02
SC-23-004-011-004994-2,23-004-011-004994,Claimant 2,Daughter,True,Undocumented,Oral claim only,29.6,Pending Verification,2023-01-02
SC-23-004-011-004994-3,23-004-011-004994,Claimant 3,Widow,False,Documented,Legal Heir Certificate,21.8,Verified,2023-01-02
SC-23-004-011-004994-4,23-004-011-004994,Claimant 4,Daughter,True,Documented,Succession Certificate,19.399999999999995,Verified,2023-01-02
SC-27-025-008-576012-1,27-025-008-576012,Claimant 1,Grandson,True,Undocumented,"Affidavit, unverified",20.5,Pending Verification,2023-06-06
SC-27-025-008-576012-2,27-025-008-576012,Claimant 2,Step-son,True,Documented,Registered Will,32.4,Verified,2023-06-06
SC-27-025-008-576012-3,27-025-008-576012,Claimant 3,Son,True,Documented,Succession Certificate,25.9,Verified,2023-06-06
SC-27-025-008-576012-4,27-025-008-576012,Claimant 4,Widow,True,Documented,Partition Deed,21.200000000000003,Verified,2023-06-06
SC-33-014-008-315668-1,33-014-008-315668,Claimant 1,Sister,False,Undocumented,"Affidavit, unverified",20.7,Pending Verification,2019-06-15
