officer_id,full_name,role,state,district,designation,password_seed,password_sha256_demo
MH-LAO-2023-0454,LAO Pune,officer,Maharashtra,Pune,Land Acquisition Officer / SDM,mh-lao-2023-0454,50d33356f123a708d2a199862aeb1a784a11e451c133781a3cf6ba9e4160e4a3
OD-LAO-2021-0890,LAO Cuttack,officer,Odisha,Cuttack,Land Acquisition Officer / SDM,od-lao-2021-0890,3010f14da32c1bc966433ecc8f68532d0f5c1697243d6d33bc1854039611c73a
OD-LAO-2025-0784,LAO Ganjam,officer,Odisha,Ganjam,Land Acquisition Officer / SDM,od-lao-2025-0784,34c99f4b7ad6fd854c0bf1764926038f9f26f05a603d384023fcbacbbd41b6eb
OD-LAO-2022-0873,LAO Khordha,officer,Odisha,Khordha,Land Acquisition Officer / SDM,od-lao-2022-0873,f49ac10981192862fe912494d8c947c92679e74af5365a65519d994548fd6412
OD-LAO-2024-0281,LAO Sambalpur,officer,Odisha,Sambalpur,Land Acquisition Officer / SDM,od-lao-2024-0281,a8230fadba4089718a9f9ba658db360674d529d52d204913c1d70953d2e57c45
TN-LAO-2021-0562,LAO Chennai,officer,Tamil Nadu,Chennai,Land Acquisition Officer / SDM,tn-lao-2021-0562,2a9ae6226b704890be418327de68642bf9ad272d85f58e37b58748bc114a1a71
TN-LAO-2024-0163,LAO Coimbatore,officer,Tamil Nadu,Coimbatore,Land Acquisition Officer / SDM,tn-lao-2024-0163,43e0b1c9582b9ed9cd543e0e8bb359de386e5e910f787c3e7aa10511ab9d127e
TN-LAO-2021-0436,LAO Madurai,officer,Tamil Nadu,Madurai,Land Acquisition Officer / SDM,tn-lao-2021-0436,271e192adde57b6a37e6f8ec41941d9330873da60748c5ca7aa64bdaf0049ac2
TN-LAO-2022-0490,LAO Tiruchirappalli,officer,Tamil Nadu,Tiruchirappalli,Land Acquisition Officer / SDM,tn-lao-2022-0490,4ef54a53c9bf49b6b5e22df0441828c87257afbf2e8913e33f676c1f33041398
TG-LAO-2025-0884,LAO Hyderabad,officer,Telangana,Hyderabad,Land Acquisition Officer / SDM,tg-lao-2025-0884,813b80ebff26415f1dc7be6c59cb32f228a1d1a416ec40fea669c7ed3accc490
TG-LAO-2024-0235,LAO Karimnagar,officer,Telangana,Karimnagar,Land Acquisition Officer / SDM,tg-lao-2024-0235,2f006df6b54fa5378416be623193848b0a00bc0d3fa1a5cfea21c244129fe5c6
TG-LAO-2021-0135,LAO Nizamabad,officer,Telangana,Nizamabad,Land Acquisition Officer / SDM,tg-lao-2021-0135,0dd2cfe774d32fae7c25b63625261dcfc7fb2692794a708ff35a3465ab39bcff
TG-LAO-2021-0919,LAO Warangal,officer,Telangana,Warangal,Land Acquisition Officer / SDM,tg-lao-2021-0919,f9bc16775fa95c74d14072fbb96bb5ac03d40226a28568631ed7b7160ab0167b
UP-LAO-2023-0451,LAO Kanpur Nagar,officer,Uttar Pradesh,Kanpur Nagar,Land Acquisition Officer / SDM,up-lao-2023-0451,0106df89171c1e2dd8ce810bb8d2d33e2f52e33a895695385d91c9c2041fc69c
UP-LAO-2021-0734,LAO Lucknow,officer,Uttar Pradesh,Lucknow,Land Acquisition Officer / SDM,up-lao-2021-0734,0fa8d90cdcddf71cdad91726f977ba5d86a05c4c2e084bf25eb576733ac06ef8
UP-LAO-2023-0576,LAO Prayagraj,officer,Uttar Pradesh,Prayagraj,Land Acquisition Officer / SDM,up-lao-2023-0576,3f91d942b71185cf968194aefdbaaf0d3fad0438f1389da806113ef6ac0106f1
UP-LAO-2025-0822,LAO Varanasi,officer,Uttar Pradesh,Varanasi,Land Acquisition Officer / SDM,up-lao-2025-0822,ac4bb1711975b019f0ee4dc84cfc28ae2d6fa61e328d0c71afc378d07fbc81b5
CG-DC-2019-0065,Collector Chhattisgarh,admin,Chhattisgarh,ALL,District Collector,cg-dc-2019-0065,f88052a200fbd078011d65f6a5af7d94a28097f28cf5bf74ba3903d7fdf4147a
KA-DC-2020-0017,Collector Karnataka,admin,Karnataka,ALL,District Collector,ka-dc-2020-0017,3ab8fd60cb8e6905f0d9519a681a3b995f5f1684e049ff4e88663e4b800e1d26
MP-DC-2021-0084,Collector Madhya Pradesh,admin,Madhya Pradesh,ALL,District Collector,mp-dc-2021-0084,7ed2a35556f5126d96b2b579bb618ce28d3a3fac4acbd1ae7f382a87dae626b4
MH-DC-2022-0055,Collector Maharashtra,admin,Maharashtra,ALL,District Collector,mh-dc-2022-0055,8d8ed8bfc016e64f8aab0f23110513a4dcc6426d484a8b4648889395bc39f58a
OD-DC-2022-0045,Collector Odisha,admin,Odisha,ALL,District Collector,od-dc-2022-0045,747f0d3c60b0462514a7f749ad2a3cc76ee4eac31cd9a1c790d265eb3fc42f73
TN-DC-2019-0018,Collector Tamil Nadu,admin,Tamil Nadu,ALL,District Collector,tn-dc-2019-0018,49a57e823f839bf957eb8066592673390781ea5fe98a86751bcbabefc20d68a8
TG-DC-2018-0026,Collector Telangana,admin,Telangana,ALL,District Collector,tg-dc-2018-0026,cdbaaabffa8398cbb69b9fb75d0545b2a94996f7bd3836d0c48e5af72360705f
UP-DC-2023-0066,Collector Uttar Pradesh,admin,Uttar Pradesh,ALL,District Collector,up-dc-2023-0066,2685ba97325cb28137e8af3a537424a058a935d4e2e5f97076a00a6134a73e93
IN-NDC-2020-0001,National Nodal Officer,admin,ALL,ALL,State Nodal Officer (MoRD),in-ndc-2020-0001,32b72f73bcf8d328a22944df1f52e691d5351e50328b425c0569d608bfe7a053
